"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1970",12.6581336508409,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1971",12.8225878967719,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1972",14.1516071320884,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1973",13.14872577648,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1974",14.2778847369974,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1975",13.519715500877,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1976",14.019401711181,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1977",13.6247962714094,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1978",14.3084823800248,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1979",16.4353091709814,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1980",14.9084407987275,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1981",13.5376450624665,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1982",13.591355329171,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1983",13.5768448481099,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1984",15.2562209275108,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1985",15.0088379956963,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1986",15.4926323894858,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1987",15.98695849504,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1988",15.1481759609943,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1989",15.1463378398455,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1990",16.061136108665,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1991",16.6910878761123,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1992",17.5725140224223,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1993",18.0051958090003,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1994",17.9168848710084,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1995",18.9391943502546,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1996",19.1748110450196,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1997",19.5955769201339,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1998",18.3438927598724,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1999",19.4346594389549,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2000",22.2257207126709,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2001",20.77459420115,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2002",19.0950858969237,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2003",17.2032857977397,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2004",18.2651015697588,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2005",19.8939212990376,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2006",20.2036088949588,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2007",20.1616732338809,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2008",23.0048129381936,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2009",19.810007754315,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2010",21.4364170540906,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2011",21.4808284059974,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2012",19.9561676149363,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2013",21.0394549992806,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2014",19.984845509759,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2015",19.2510570754507,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2016",21.2057506620343,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2017",21.8219046176483,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2018",24.1109654423664,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2019",23.9152267660839,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1970",27.3917570819622,"E"
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1971",27.0353547405368,"E"
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1972",26.9306664996172,"E"
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1973",26.9193669891799,"E"
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1974",29.1143697687905,"E"
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1975",28.0946358198911,"E"
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1976",28.7525264003829,"E"
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1977",27.9539568496884,"E"
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1978",29.1150929838055,"E"
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1979",30.8807752564071,"E"
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1980",31.6930717643075,"E"
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1981",33.0006616186123,"E"
