"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1970",12.9334722428933,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1971",11.9705961694092,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1972",11.0177498140591,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1973",13.2134324396071,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1974",14.7317978049158,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1975",13.3803493764567,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1976",14.6501654974291,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1977",14.5903029956443,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1978",15.3566579810603,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1979",15.9086175087782,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1980",16.7402821048757,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1981",16.8295238420627,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1982",15.6235296605465,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1983",15.005295766199,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1984",17.3053925344614,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1985",18.0802336304949,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1986",17.0921563823457,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1987",16.6476786800416,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1988",16.9817378433677,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1989",17.0734908136483,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1990",16.193830898585,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1991",16.4186276621683,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1992",17.8934453773932,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1993",18.5206973548609,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1994",19.8846667893329,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1995",19.3931375912388,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1996",18.9000001800858,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1997",20.4748536380903,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1998",20.790755650731,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1999",21.5943517368742,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2000",22.1394876508015,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2001",20.7826816731256,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2002",21.2010587295246,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2003",19.9174485708545,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2004",21.0060810671628,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2005",21.7103057916763,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2006",21.8478307885289,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2007",22.7086594643905,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2008",22.7930912712426,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2009",20.8396639745591,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2010",20.4703160052576,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2011",21.7295182659334,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2012",21.2522627313421,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2013",21.4670353387174,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2014",21.5095275701541,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2015",21.5265843486597,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2016",20.6129696868594,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2017",21.4407430648721,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2018",21.5994940287195,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2019",20.0626259797586,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1970",27.4686347280959,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1971",27.3451163892509,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1972",27.365352747705,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1973",27.5374531345347,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1974",30.4533619142688,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1975",28.5044982528805,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1976",31.163755238206,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1977",32.3236388961057,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1978",30.5528948243166,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1979",32.4364439554878,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1980",35.1319343048658,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1981",35.3958886770956,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1982",32.3756175092208,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1983",31.993986179109,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1984",33.8239884465719,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1985",35.1618401179462,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1986",32.016882528963,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1987",31.4475179050155,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1988",33.4916241738425,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1989",35.5231560476867,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1990",35.7909548337857,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1991",35.4579177869698,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1992",34.4748998338925,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1993",31.8011525125954,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1994",33.8285594546494,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1995",34.7234607571822,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1996",35.8343950133252,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1997",37.8396074770871,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1998",38.5761282051164,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1999",38.9031024586734,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2000",42.0142216659345,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2001",42.9191092459869,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2002",41.6287818010806,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2003",41.8169676971425,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2004",43.9251307189084,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2005",45.4140534786122,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2006",47.2466423435202,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2007",48.172384639555,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2008",48.8248221152974,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2009",41.8548144134358,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2010",47.7576359096203,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2011",51.154117778086,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2012",51.1785012313079,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2013",50.625120789651,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2014",50.1169562048263,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2015",49.3382548303838,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2016",48.5756846289351,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2017",50.8905233062778,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2018",52.4198695413291,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2019",52.2041787909953,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2020",49.02537840196,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1970",42.7710264495466,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1971",41.8166177666798,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1972",41.0771607912933,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1973",46.1121507192838,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1974",52.3777201448465,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1975",45.6077126965437,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1976",48.2613756212005,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1977",48.1702725433038,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1978",46.550960571535,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1979",51.6505321053504,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1980",52.9381674238653,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1981",56.1578303566346,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1982",59.822037160011,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1983",59.9999364642422,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1984",63.8183835850715,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1985",61.4226582179306,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1986",55.0439747475742,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1987",54.0513372865066,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1988",57.0148635001021,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1989",61.3701835996737,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1990",59.8541600579142,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1991",58.3604829009414,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1992",56.2603571967148,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1993",52.9049959905429,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1994",54.8073406106081,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1995",56.2641961032662,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1996",58.0203848015116,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1997",60.902358975732,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1998",60.5347776108893,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1999",60.6069310248626,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2000",69.6827399089776,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2001",67.964880914325,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2002",65.2538517924041,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2003",63.679044325004,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2004",66.0121279012141,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2005",70.2462217485879,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2006",72.7625122442923,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2007",74.1666421724765,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2008",80.2078278152436,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2009",66.5720368236699,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2010",74.14760859514,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2011",80.7963607521708,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2012",80.3415397228249,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2013",78.5264966401955,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2014",78.9822068454526,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2015",76.3872643576431,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2016",78.2354105104266,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2017",82.1434260996683,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2018",83.2593167975071,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2019",81.1966404083103,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2020",80.1263096581407,"E"
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","1970",19.419537517697,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","1971",19.4619133715903,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","1972",20.3979793001479,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","1973",21.387886985272,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","1974",23.9542405215216,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","1975",23.8119576511556,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","1976",22.4031222240021,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","1977",22.8768911015515,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","1978",24.1390392153751,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","1979",25.7402468242846,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","1980",25.6922605012595,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","1981",25.7179157232909,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","1982",21.423253585312,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","1983",21.7838866788824,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","1984",24.5401375799267,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","1985",25.2950340681603,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","1986",26.0775117254999,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","1987",24.8629721974593,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","1988",25.3128918126509,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","1989",25.0202880078144,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","1990",24.9201654634573,
